,Product,Minimum,Maximum,Average,Date
0,Amla KG,110,120,115,2023-04-16
1,Apple(Fuji) KG,225,250,237.5,2023-04-16
2,Apple(Jholey) KG,180,200,190,2023-04-16
3,Arum KG,40,50,45,2023-04-16
4,Asparagus KG,250,300,275,2023-04-16
5,Avocado KG,400,500,450,2023-04-16
6,Bakula KG,60,70,65,2023-04-16
7,Bamboo Shoot KG,90,100,95,2023-04-16
8,Banana Per Dozen,170,180,175,2023-04-16
9,Barela KG,40,50,45,2023-04-16
10,Bauhania flower KG,230,250,240,2023-04-16
11,Bottle Gourd KG,30,40,35,2023-04-16
12,Brd Leaf Mustard KG,50,60,55,2023-04-16
13,Brinjal Long KG,30,35,32.67,2023-04-16
14,Brinjal Round KG,35,40,37.67,2023-04-16
15,Brocauli KG,60,70,65,2023-04-16
16,Cabbage(Local) KG,10,15,12.33,2023-04-16
17,Capsicum KG,70,80,75,2023-04-16
18,Carrot(Local) KG,50,60,55,2023-04-16
19,Carrot(Terai) KG,40,50,45,2023-04-16
20,Cauli Local KG,35,45,40,2023-04-16
21,Cauli Local(Jyapu) KG,50,60,55,2023-04-16
22,Celery KG,120,150,135,2023-04-16
23,Chilli Dry KG,450,480,465,2023-04-16
24,Chilli Green KG,60,70,65,2023-04-16
25,Chilli Green(Akbare) KG,250,300,275,2023-04-16
26,Chilli Green(Bullet) KG,60,70,65,2023-04-16
27,Chilli Green(Machhe) KG,80,90,85,2023-04-16
28,Christophine KG,35,40,37.67,2023-04-16
29,Clive Dry KG,180,200,190,2023-04-16
30,Clive Green KG,50,60,55,2023-04-16
31,Coriander Green KG,40,50,45,2023-04-16
32,Cow pea(Long) KG,60,70,65,2023-04-16
33,Cress Leaf KG,100,110,105,2023-04-16
34,Cucumber(Hybrid) KG,40,50,45,2023-04-16
35,Cucumber(Local) KG,80,90,85,2023-04-16
36,Drumstick KG,70,80,75,2023-04-16
37,Fennel Leaf KG,100,110,105,2023-04-16
38,Fenugreek Leaf KG,100,110,105,2023-04-16
39,Fish Fresh(Bachuwa) KG,260,280,270,2023-04-16
40,Fish Fresh(Chhadi) KG,280,300,290,2023-04-16
41,Fish Fresh(Mungari) KG,280,300,290,2023-04-16
42,Fish Fresh(Rahu) KG,330,360,345,2023-04-16
43,French Bean(Hybrid) KG,40,45,42.33,2023-04-16
44,French Bean(Local) KG,25,35,30,2023-04-16
45,French Bean(Rajma) KG,90,100,95,2023-04-16
46,Garlic Dry Chinese KG,170,180,175,2023-04-16
47,Garlic Dry Nepali KG,90,100,95,2023-04-16
48,Garlic Green KG,50,60,55,2023-04-16
49,Ginger KG,110,120,115,2023-04-16
50,Grapes(Black) KG,180,200,190,2023-04-16
51,Grapes(Green) KG,120,130,125,2023-04-16
52,Green Peas KG,70,80,75,2023-04-16
53,Gundruk KG,250,300,275,2023-04-16
54,Jack Fruit KG,60,70,65,2023-04-16
55,Kinnow KG,120,150,135,2023-04-16
56,Kiwi KG,400,500,450,2023-04-16
57,Knolkhol KG,50,60,55,2023-04-16
58,Lettuce KG,40,50,45,2023-04-16
59,Lime KG,240,280,256.67,2023-04-16
60,Mandarin KG,225,250,237.5,2023-04-16
61,Mint KG,150,200,175,2023-04-16
62,Mushroom(Button) KG,280,300,290,2023-04-16
63,Mushroom(Kanya) KG,140,160,150,2023-04-16
64,Mustard Leaf KG,30,40,35,2023-04-16
65,Neuro KG,90,100,95,2023-04-16
66,Okara KG,60,70,65,2023-04-16
67,Onion Dry (Indian) KG,31,33,32,2023-04-16
68,Onion Green KG,40,50,45,2023-04-16
69,Orange(Indian) KG,140,150,145,2023-04-16
70,Papaya(Indian) KG,70,80,75,2023-04-16
71,Papaya(Nepali) KG,60,70,65,2023-04-16
72,Parseley KG,220,250,235,2023-04-16
73,Pear(Chinese) KG,225,250,237.5,2023-04-16
74,Pineapple 1 Pc,180,200,190,2023-04-16
75,Pointed Gourd(Terai) KG,90,100,95,2023-04-16
76,Pomegranate KG,225,250,237.5,2023-04-16
77,Potato Red KG,32,34,33,2023-04-16
78,Potato Red(Indian) KG,28,30,29,2023-04-16
79,Potato White KG,26,28,27,2023-04-16
80,Pumpkin KG,40,50,45,2023-04-16
81,Raddish White(Hybrid) KG,30,35,32.67,2023-04-16
82,Raddish White(Local) KG,20,25,22.33,2023-04-16
83,Red Cabbbage KG,50,60,55,2023-04-16
84,Smooth Gourd KG,30,40,35,2023-04-16
85,Snake Gourd KG,40,50,45,2023-04-16
86,Spinach Leaf KG,100,110,105,2023-04-16
87,Sponge Gourd KG,70,80,75,2023-04-16
88,Squash(Long) KG,30,35,32.67,2023-04-16
89,Squash(Round) KG,30,35,32.67,2023-04-16
90,Strawberry KG,350,400,375,2023-04-16
91,Sugarbeet KG,70,80,75,2023-04-16
92,Sweet Orange KG,180,200,190,2023-04-16
93,Sweet Potato KG,70,80,75,2023-04-16
94,Sword Bean KG,60,70,65,2023-04-16
95,Tamarind KG,150,160,155,2023-04-16
96,Tofu KG,120,130,125,2023-04-16
97,Tomato Big(Indian) KG,50,60,55,2023-04-16
98,Tomato Big(Nepali) KG,50,60,55,2023-04-16
99,Tomato Small(Indian) KG,25,35,30,2023-04-16
100,Tomato Small(Local) KG,15,20,17.67,2023-04-16
101,Tomato Small(Terai) KG,25,35,30,2023-04-16
102,Tomato Small(Tunnel) KG,25,35,30,2023-04-16
103,Turnip KG,50,60,55,2023-04-16
104,Turnip A KG,60,70,65,2023-04-16
105,Water Melon(Green) KG,35,40,37.67,2023-04-16
106,Yam KG,60,70,65,2023-04-16
0,Amla KG,120,130,125,2023-04-17
1,Apple(Fuji) KG,225,250,237.5,2023-04-17
2,Apple(Jholey) KG,180,200,190,2023-04-17
3,Arum KG,40,50,45,2023-04-17
4,Asparagus KG,250,300,275,2023-04-17
5,Avocado KG,400,500,450,2023-04-17
6,Bamboo Shoot KG,90,100,95,2023-04-17
7,Banana Per Dozen,160,170,165,2023-04-17
8,Barela KG,30,40,35,2023-04-17
9,Bauhania flower KG,230,250,240,2023-04-17
10,Bitter Gourd KG,70,80,75,2023-04-17
11,Bottle Gourd KG,25,30,27.67,2023-04-17
12,Brd Leaf Mustard KG,30,40,35,2023-04-17
