,Product,Minimum,Maximum,Average,Date
0,Apple(Jholey) KG,100.0,120.0,110.0,2013-06-16
1,Asparagus KG,100.0,150.0,123.0,2013-06-16
2,Bamboo Shoot KG,50.0,60.0,53.0,2013-06-16
3,Banana Per Dozen,70.0,80.0,75.0,2013-06-16
4,Bitter Gourd KG,14.0,16.0,15.0,2013-06-16
5,Bottle Gourd KG,15.0,20.0,18.0,2013-06-16
6,Brd Leaf Mustard KG,45.0,50.0,48.0,2013-06-16
7,Brinjal Long KG,16.0,18.0,17.0,2013-06-16
8,Brinjal Round KG,20.0,22.0,21.0,2013-06-16
9,Brocauli KG,70.0,80.0,75.0,2013-06-16
10,Cabbage(Local) KG,6.0,10.0,8.0,2013-06-16
11,Capsicum KG,55.0,60.0,58.0,2013-06-16
12,Carrot(Local) KG,30.0,35.0,33.0,2013-06-16
13,Cauli Local KG,30.0,35.0,33.0,2013-06-16
14,Celery KG,120.0,130.0,125.0,2013-06-16
15,Chilli Dry KG,170.0,180.0,175.0,2013-06-16
16,Chilli Green KG,30.0,40.0,35.0,2013-06-16
17,Christophine KG,38.0,40.0,39.0,2013-06-16
18,Clive Dry KG,70.0,80.0,75.0,2013-06-16
19,Clive Green KG,70.0,80.0,75.0,2013-06-16
20,Coriander Green KG,90.0,110.0,100.0,2013-06-16
21,Cow pea(Long) KG,20.0,25.0,23.0,2013-06-16
22,Cress Leaf KG,55.0,60.0,58.0,2013-06-16
23,Cucumber(Local) KG,25.0,30.0,28.0,2013-06-16
24,Drumstick KG,35.0,40.0,38.0,2013-06-16
25,Fennel Leaf KG,70.0,80.0,75.0,2013-06-16
26,Fenugreek Leaf KG,55.0,60.0,58.0,2013-06-16
27,Fish Fresh KG,210.0,220.0,215.0,2013-06-16
28,French Bean(Local) KG,25.0,30.0,28.0,2013-06-16
29,Garlic Dry Chinese KG,100.0,110.0,105.0,2013-06-16
30,Garlic Dry Nepali KG,50.0,60.0,55.0,2013-06-16
31,Garlic Green KG,45.0,50.0,48.0,2013-06-16
32,Ginger KG,140.0,150.0,145.0,2013-06-16
33,Grapes(Green) KG,250.0,260.0,255.0,2013-06-16
34,Green Peas KG,55.0,60.0,58.0,2013-06-16
35,Gundruk KG,180.0,190.0,185.0,2013-06-16
36,Jack Fruit KG,20.0,25.0,23.0,2013-06-16
37,Lettuce KG,55.0,60.0,58.0,2013-06-16
38,Lime KG,200.0,400.0,300.0,2013-06-16
39,Mango(Maldah) KG,50.0,60.0,55.0,2013-06-16
40,Mint KG,120.0,130.0,125.0,2013-06-16
41,Mushroom(Kanya) KG,150.0,160.0,155.0,2013-06-16
42,Mustard Leaf KG,40.0,45.0,43.0,2013-06-16
43,Neuro KG,50.0,60.0,55.0,2013-06-16
44,Okara KG,20.0,25.0,22.0,2013-06-16
45,Onion Dry (Indian) KG,28.0,30.0,29.0,2013-06-16
46,Onion Green KG,40.0,45.0,43.0,2013-06-16
47,Papaya(Nepali) KG,60.0,70.0,65.0,2013-06-16
48,Parseley KG,180.0,190.0,185.0,2013-06-16
49,Pineapple 1 Pc,60.0,70.0,65.0,2013-06-16
50,Pointed Gourd(Local) KG,30.0,35.0,33.0,2013-06-16
51,Pomegranate KG,200.0,220.0,210.0,2013-06-16
52,Potato Red KG,20.0,21.0,21.0,2013-06-16
53,Potato White KG,15.0,16.0,16.0,2013-06-16
54,Pumpkin KG,18.0,20.0,19.0,2013-06-16
55,Raddish Red KG,35.0,40.0,38.0,2013-06-16
56,Raddish White(Local) KG,25.0,30.0,28.0,2013-06-16
57,Red Cabbbage KG,70.0,80.0,75.0,2013-06-16
58,Smooth Gourd KG,20.0,25.0,23.0,2013-06-16
59,Snake Gourd KG,25.0,30.0,28.0,2013-06-16
60,Soyabean Green KG,60.0,70.0,65.0,2013-06-16
